country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
Timor_Leste,TLS,6,0,1267972,6.1031098,.84509802,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Timor_Leste,TLS,6,0,1267972,6.1031098,.84509802,0,,Somaliland,139,.44100001,.26499999,.285
Trinidad_and_Tobago,TTO,113,8,1389858,6.1429706,2.0569048,.95424253,,Hong Kong,167,.31799999,.255,.117
Trinidad_and_Tobago,TTO,113,8,1389858,6.1429706,2.0569048,.95424253,,Palestine/Gaza,138,.13,.078000002,.111
Trinidad_and_Tobago,TTO,113,8,1389858,6.1429706,2.0569048,.95424253,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Trinidad_and_Tobago,TTO,113,8,1389858,6.1429706,2.0569048,.95424253,,Somaliland,139,.44100001,.26499999,.285
Tunisia,TUN,747,34,11565204,7.0631533,2.8739016,1.5440681,616,Tunisia,98,.72299999,.65499997,.44100001
Turkey,TUR,65111,1403,82319724,7.915504,4.8136611,3.147367,640,Turkey,99,.292,.101,.155
Taiwan,TWN,395,6,23780452,7.3762202,2.5976951,.84509802,713,Taiwan,48,.81099999,.69700003,.63099998
United_Republic_of_Tanzania,TZA,53,3,56318348,7.7506499,1.7323937,.60206002,,Somaliland,139,.44100001,.26499999,.285
United_Republic_of_Tanzania,TZA,53,3,56318348,7.7506499,1.7323937,.60206002,,Hong Kong,167,.31799999,.255,.117
United_Republic_of_Tanzania,TZA,53,3,56318348,7.7506499,1.7323937,.60206002,,Palestine/Gaza,138,.13,.078000002,.111
United_Republic_of_Tanzania,TZA,53,3,56318348,7.7506499,1.7323937,.60206002,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Uganda,UGA,55,0,42723139,7.6306634,1.748188,0,500,Uganda,50,.30700001,.222,.23999999
Ukraine,UKR,3372,98,44622516,7.6495543,3.5280163,1.9956352,369,Ukraine,100,.46900001,.292,.30399999
Uruguay,URY,533,8,3449299,6.5377312,2.7275412,.95424253,165,Uruguay,102,.85799998,.77999997,.70300001
United_States_of_America,USA,609516,26057,327167434,8.5147705,5.784986,4.4159412,,Somaliland,139,.44100001,.26499999,.285
United_States_of_America,USA,609516,26057,327167434,8.5147705,5.784986,4.4159412,,Palestine/West Bank,128,.28299999,.20999999,.20100001
United_States_of_America,USA,609516,26057,327167434,8.5147705,5.784986,4.4159412,,Hong Kong,167,.31799999,.255,.117
United_States_of_America,USA,609516,26057,327167434,8.5147705,5.784986,4.4159412,,Palestine/Gaza,138,.13,.078000002,.111
