country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
Guyana,GUY,48,6,779004,5.8915401,1.690196,.84509802,110,Guyana,166,.67299998,.421,.419
Honduras,HND,419,31,9587522,6.9817066,2.6232493,1.50515,91,Honduras,27,.36000001,.19499999,.23999999
Croatia,HRV,1704,31,4089400,6.6116595,3.2317245,1.50515,344,Croatia,154,.68699998,.54500002,.49000001
Haiti,HTI,40,3,11123176,7.0462289,1.6127839,.60206002,41,Haiti,26,.449,.23899999,.25400001
Hungary,HUN,1579,134,9768785,6.9898405,3.198657,2.1303337,310,Hungary,210,.48500001,.40200001,.32800001
Indonesia,IDN,4839,459,267663435,8.4275894,3.6848454,2.6627579,850,Indonesia,56,.63599998,.49399999,.41499999
Isle_of_Man,IMN,242,2,84077,4.9246821,2.3856063,.47712126,,Palestine/Gaza,138,.13,.078000002,.111
Isle_of_Man,IMN,242,2,84077,4.9246821,2.3856063,.47712126,,Hong Kong,167,.31799999,.255,.117
Isle_of_Man,IMN,242,2,84077,4.9246821,2.3856063,.47712126,,Somaliland,139,.44100001,.26499999,.285
Isle_of_Man,IMN,242,2,84077,4.9246821,2.3856063,.47712126,,Palestine/West Bank,128,.28299999,.20999999,.20100001
India,IND,11438,377,1352617328,9.131175,4.0583882,2.5774918,750,India,39,.50700003,.36399999,.30700001
Ireland,IRL,11479,406,4853506,6.6860557,4.0599418,2.6095943,205,Ireland,81,.86400002,.79900002,.611
Iran,IRN,74877,4683,81800269,7.9127545,4.8743544,3.6706169,630,Iran,79,.21699999,.14399999,.052999999
Iraq,IRQ,1400,78,38433600,7.5847111,3.1464381,1.8976271,645,Iraq,80,.398,.23999999,.26800001
Iceland,ISL,1720,8,353574,5.5484815,3.235781,.95424253,395,Iceland,168,.85000002,.76499999,.62400001
Israel,ISR,12046,123,8883800,6.9485989,4.0808787,2.0934217,666,Israel,169,.667,.574,.428
Italy,ITA,162488,21069,60431283,7.7812619,5.210824,4.3236647,325,Italy,82,.86000001,.77200001,.67299998
Jamaica,JAM,105,5,2934855,6.467587,2.0253057,.77815127,51,Jamaica,120,.81,.69,.55900002
Jersey,JEY,217,4,106800,5.0285754,2.3384564,.69897002,,Hong Kong,167,.31799999,.255,.117
